Second,Throughput
03:51:51,2764
03:51:50,2584
03:51:53,2617
03:52:21,1150
03:51:52,2408
03:52:20,2021
03:51:55,2578
03:52:23,1745
03:51:54,2681
03:52:22,1599
03:51:57,2613
03:52:25,1729
03:51:56,2620
03:52:24,1695
03:51:59,2384
03:52:27,1658
03:51:58,2597
03:52:26,1684
03:52:29,1702
03:52:28,1682
03:52:30,1506
03:52:32,1394
03:52:31,1213
03:52:34,1157
03:52:33,1247
03:52:36,917
03:52:35,1102
03:52:38,784
03:52:37,957
03:52:39,573
03:52:41,358
03:52:40,517
03:52:43,131
03:52:42,198
03:52:44,4
03:48:08,55
03:48:09,218
03:48:10,336
03:48:11,365
03:48:18,887
03:48:19,858
03:48:16,677
03:48:17,770
03:48:14,630
03:48:15,599
03:48:12,483
03:48:13,519
03:48:21,1022
03:48:22,1175
03:48:20,978
03:48:29,1445
03:48:27,1331
03:48:28,1492
03:48:25,1291
03:48:26,1334
03:48:23,1237
03:48:24,1277
03:48:32,1538
03:49:00,2203
03:48:33,1739
03:49:01,2144
03:48:30,1577
03:48:31,1548
03:49:08,2031
03:49:09,2105
03:48:38,2198
03:49:06,2323
03:48:39,1901
03:49:07,2641
03:48:36,1800
03:49:04,2557
03:48:37,1961
03:49:05,2769
03:48:34,1767
03:49:02,2428
03:48:35,1769
03:49:03,2351
03:48:43,1957
03:49:11,2608
03:48:44,2116
03:49:12,2627
03:48:41,1894
03:48:42,2137
03:49:10,2276
03:48:40,1908
03:49:19,2016
03:50:08,2427
03:50:09,2567
03:48:49,1769
03:49:17,1759
03:49:18,1922
03:48:47,1843
03:49:15,2044
03:48:48,1649
03:49:16,1748
03:48:45,2068
03:49:13,2534
03:48:46,1813
03:49:14,2045
03:48:54,2076
03:49:22,2708
03:50:00,1972
03:48:55,2033
03:49:23,2762
03:50:01,2022
03:48:52,2177
03:49:20,2330
03:50:02,2120
03:48:53,2306
03:49:21,2628
03:50:03,1992
03:48:50,1895
03:50:04,2349
03:48:51,1973
03:50:05,2325
03:50:06,2322
03:50:07,2549
03:50:19,2362
03:49:28,2608
03:49:29,2867
03:48:58,1773
03:49:26,2868
03:48:59,2088
03:49:27,2858
03:48:56,2116
03:49:24,2798
03:48:57,1822
03:49:25,2874
03:50:10,2639
03:49:33,2268
03:50:11,2680
03:49:34,1970
03:50:12,2775
03:49:31,2971
03:50:13,2794
03:49:32,2422
03:50:14,2570
03:50:15,2800
03:49:30,2754
03:50:16,2371
03:50:17,2846
03:50:18,2726
03:49:39,2698
03:49:37,2055
03:49:38,2464
03:49:35,2010
03:49:36,2156
03:50:20,2677
03:50:21,2695
03:49:44,2350
03:50:22,2746
03:49:45,2514
03:50:23,3025
03:49:42,2849
03:50:24,2710
03:49:43,2474
03:50:25,2931
03:49:40,1964
03:50:26,2609
03:49:41,2802
03:50:27,2410
03:50:28,2086
03:50:29,1906
03:51:09,2769
03:49:48,1914
03:49:49,2147
03:49:46,1961
03:49:47,2008
03:50:30,1862
03:50:31,1854
03:51:00,2945
03:50:32,2003
03:49:55,2706
03:50:33,2446
03:51:02,2907
03:49:56,2683
03:50:34,2807
03:51:01,2782
03:49:53,2666
03:50:35,2677
03:51:04,2701
03:49:54,2741
03:50:36,2243
03:51:03,2861
03:49:51,2146
03:50:37,2501
03:51:06,2698
03:49:52,2693
03:50:38,2575
03:51:05,2629
03:50:39,2476
03:51:08,2798
03:49:50,1915
03:51:07,2847
03:49:59,2539
03:49:57,2637
03:49:58,2359
03:50:40,2025
03:50:41,1621
03:50:42,1846
03:51:11,2679
03:50:43,2108
03:51:10,2641
03:50:44,2458
03:51:13,2742
03:50:45,2506
03:51:12,2911
03:50:46,2075
03:51:15,2507
03:50:47,1208
03:51:14,2718
03:50:48,1418
03:51:17,2896
03:50:49,2990
03:51:16,2743
03:51:19,2863
03:51:18,2760
03:50:50,2894
03:50:51,2705
03:51:20,2879
03:50:52,2962
03:50:53,2800
03:51:22,2790
03:50:54,2559
03:51:21,2616
03:50:55,3025
03:51:24,2944
03:50:56,2940
03:51:23,2875
03:50:57,2854
03:51:26,2765
03:50:58,2804
03:51:25,2816
03:50:59,2775
03:51:28,2776
03:51:27,2991
03:51:29,2808
03:51:31,2704
03:51:30,2808
03:51:33,2758
03:52:01,1959
03:51:32,2839
03:52:00,2448
03:51:35,2566
03:52:03,2091
03:51:34,2849
03:52:02,2038
03:51:37,2675
03:52:05,1912
03:51:36,2721
03:52:04,1892
03:51:39,3017
03:52:07,1731
03:51:38,2933
03:52:06,1485
03:52:09,1995
03:52:08,2145
03:51:40,2875
03:51:42,2740
03:52:10,1909
03:51:41,2976
03:51:44,2543
03:52:12,1953
03:51:43,2818
03:52:11,1849
03:51:46,2668
03:52:14,1848
03:51:45,2320
03:52:13,1971
03:51:48,2834
03:52:16,2045
03:51:47,2604
03:52:15,2131
03:52:18,1895
03:51:49,2525
03:52:17,2069
03:52:19,2157
